generation; min balance; max balance; avg balance; best chromosome's magnitude
0;0.15491933384829668;0.8320256406305437;0.5520914495780546;157
1;0.18618986725025252;0.7170309151866001;0.4508546192143788;168
2;0.08326663997864533;0.7188880302244571;0.3761789877173676;173
3;0.0653197264742181;0.6536053855347277;0.33591539715389546;176
4;0.10583005244258364;0.6387487769068524;0.2656024707768334;176
5;0.08640987597877149;0.565685424949238;0.250142047008082;176
6;0.0565685424949238;0.560475988186232;0.23926730352783881;186
7;0.0565685424949238;0.590592922409336;0.24463108519496987;178
8;0.0653197264742181;0.694742158406028;0.2602990005001508;178
9;0.046188021535170036;0.5623759122390171;0.24909356381046027;178
10;0.05163977794943222;0.48935331476006844;0.23870287404594692;178
11;0.0565685424949238;0.41376321731154403;0.23173130285143975;182
12;0.05163977794943222;0.4624572052273234;0.1912057904758157;182
13;0;0.4766550115125194;0.2081753149019628;178
14;0.023094010767585053;0.4188874152641336;0.2133341743103274;185
15;0.0565685424949238;0.4788875998951459;0.21303457129288628;178
16;0.023094010767585053;0.6282250127674532;0.20108909289938848;185
17;0.05163977794943222;0.49369356217529653;0.1905728619620257;184
